iter	Passed	Remaining
401	14379	21390
402	14413	21351
403	14446	21312
404	14482	21276
405	14518	21241
406	14550	21200
407	14582	21159
408	14620	21126
409	14655	21089
410	14694	21058
411	14728	21020
412	14764	20984
413	14797	20945
414	14830	20905
415	14869	20874
416	14910	20845
417	14948	20813
418	14982	20774
419	15015	20735
420	15058	20710
421	15095	20676
422	15134	20643
423	15170	20609
424	15210	20578
425	15247	20545
426	15282	20507
427	15318	20472
428	15353	20436
429	15387	20396
430	15423	20362
431	15461	20328
432	15503	20301
433	15542	20270
434	15580	20236
435	15621	20207
436	15663	20179
437	15705	20151
438	15746	20122
439	15783	20087
440	15824	20058
441	15859	20021
442	15892	19982
443	15925	19942
444	15962	19908
445	16003	19878
446	16041	19845
447	16077	19809
448	16111	19772
449	16142	19729
450	16182	19699
451	16218	19663
452	16256	19629
453	16293	19595
454	16330	19560
455	16370	19529
456	16414	19502
457	16451	19468
458	16490	19436
459	16528	19402
460	16567	19370
461	16602	19333
462	16638	19297
463	16672	19259
464	16710	19225
465	16748	19192
466	16783	19154
467	16816	19116
468	16853	19082
469	16885	19041
470	16923	19007
471	16955	18967
472	16990	18930
473	17022	18889
474	17059	18855
475	17092	18816
476	17127	18778
477	17161	18740
478	17197	18705
479	17232	18668
480	17272	18637
481	17307	18600
482	17344	18565
483	17380	18529
484	17425	18503
485	17462	18468
486	17524	18460
487	17558	18421
488	17595	18387
489	17637	18356
490	17674	18322
491	17711	18287
492	17752	18256
493	17788	18220
494	17825	18185
495	17861	18149
496	17897	18113
497	17934	18078
498	17973	18045
499	18008	18008
500	18046	17974
501	18083	17939
502	18121	17905
503	18161	17873
504	18200	17840
505	18236	17804
506	18268	17764
507	18301	17725
508	18341	17693
509	18374	17654
510	18409	17616
511	18443	17578
512	18493	17556
513	18543	17533
514	18581	17498
515	18619	17465
516	18664	17437
517	18702	17402
518	18745	17372
519	18778	17334
520	18817	17300
521	18855	17265
522	18890	17228
523	18923	17190
524	18959	17153
525	18991	17114
526	19029	17079
527	19065	17043
528	19104	17009
529	19140	16973
530	19178	16938
531	19214	16903
532	19251	16867
533	19283	16827
534	19316	16788
535	19356	16756
536	19393	16721
537	19428	16683
538	19463	16646
539	19500	16611
540	19537	16576
541	19571	16538
542	19604	16499
543	19643	16465
544	19684	16434
545	19718	16396
546	19753	16358
547	19785	16319
548	19820	16282
549	19857	16247
550	19890	16208
551	19923	16170
552	19962	16135
553	20002	16102
554	20035	16064
555	20067	16025
556	20102	15987
557	20138	15952
558	20172	15914
559	20206	15876
560	20240	15838
561	20274	15800
562	20313	15767
563	20348	15730
564	20385	15695
565	20421	15658
566	20453	15619
567	20485	15580
568	20523	15545
569	20557	15508
570	20591	15470
571	20627	15434
572	20666	15400
573	20714	15373
574	20748	15336
575	20789	15303
576	20828	15269
577	20861	15231
578	20904	15199
579	20937	15161
580	20972	15125
581	21006	15087
582	21048	15055
583	21083	15018
584	21118	14981
585	21155	14945
586	21190	14909
587	21225	14872
588	21263	14837
589	21295	14798
590	21332	14763
591	21374	14730
592	21411	14695
593	21443	14656
594	21481	14621
595	21517	14585
596	21551	14548
597	21586	14511
598	21622	14475
599	21656	14437
600	21693	14401
601	21728	14365
602	21764	14329
603	21805	14296
604	21842	14260
605	21880	14225
606	21917	14190
607	21956	14155
608	21992	14120
609	22029	14084
610	22069	14050
611	22104	14014
612	22143	13979
613	22180	13943
614	22216	13907
615	22266	13880
616	22318	13853
617	22354	13817
618	22389	13780
619	22423	13743
620	22466	13711
621	22500	13673
622	22534	13636
623	22569	13599
624	22646	13587
625	22674	13546
626	22714	13512
627	22753	13477
628	22797	13446
629	22843	13416
630	22884	13382
631	22927	13349
632	22972	13318
633	23012	13284
634	23053	13251
635	23088	13214
636	23127	13179
637	23160	13141
638	23194	13103
639	23229	13066
640	23268	13031
641	23301	12993
642	23336	12956
643	23370	12918
644	23410	12884
645	23444	12847
646	23476	12808
647	23511	12771
648	23551	12737
649	23591	12702
650	23625	12665
651	23660	12628
652	23696	12592
653	23728	12553
654	23763	12516
655	23797	12479
656	23835	12443
657	23873	12408
658	23909	12371
659	23948	12337
660	23986	12301
661	24021	12264
662	24052	12226
663	24084	12187
664	24124	12152
665	24158	12115
666	24194	12079
667	24231	12043
668	24271	12008
669	24312	11974
670	24347	11938
671	24379	11899
672	24415	11862
673	24448	11825
674	24480	11787
675	24519	11751
676	24558	11716
677	24592	11679
678	24625	11642
679	24660	11604
680	24702	11571
681	24738	11535
682	24770	11496
683	24803	11459
684	24839	11422
685	24877	11386
686	24911	11349
687	24944	11311
688	24979	11275
689	25018	11240
690	25051	11202
691	25085	11165
692	25123	11129
693	25156	11092
694	25194	11056
695	25227	11018
696	25263	10982
697	25296	10944
698	25329	10907
699	25364	10870
700	25406	10836
701	25442	10800
702	25476	10762
703	25509	10725
704	25544	10688
705	25584	10654
706	25618	10617
707	25651	10579
708	25685	10542
709	25721	10506
710	25754	10468
711	25786	10430
712	25821	10393
713	25858	10357
714	25889	10319
715	25921	10281
716	25957	10245
717	25991	10208
718	26030	10173
719	26065	10136
720	26102	10100
721	26135	10063
722	26168	10025
723	26201	9988
724	26237	9952
725	26274	9916
726	26308	9879
727	26343	9842
728	26379	9806
729	26417	9770
730	26450	9733
731	26483	9696
732	26519	9659
733	26560	9625
734	26592	9587
735	26627	9551
736	26664	9515
737	26696	9477
738	26732	9441
739	26765	9404
740	26799	9367
741	26837	9331
742	26869	9294
