iter	RMSE
0	475.4733998
1	435.584427
2	399.6495557
3	365.2549947
4	338.0795185
5	308.0802324
6	282.1830445
7	258.8952488
8	237.1368475
9	219.1210267
10	201.0537974
11	185.5816301
12	170.6767917
13	157.3569972
14	145.7992748
15	134.8364476
16	125.0680767
17	115.8166437
18	108.1594113
19	100.6695856
20	94.10431881
21	88.19099206
22	82.90373744
23	77.63109259
24	73.27935142
25	69.06572571
26	65.6644374
27	62.43141862
28	59.5163296
29	56.77145876
30	54.55262532
31	52.32582935
32	50.49931889
33	48.75138134
34	47.25501772
35	45.89422065
36	44.62236705
37	43.49922569
38	42.44742531
39	41.51109017
40	40.7665906
41	40.06910385
42	39.50657722
43	38.97434667
44	38.42977704
45	37.91052679
46	37.49628118
47	37.11742632
48	36.70002557
49	36.3229426
50	35.94295411
51	35.58986161
52	35.28530098
53	35.05668133
54	34.82500651
55	34.53001404
56	34.30104837
57	34.12464388
58	33.92127165
59	33.76387648
60	33.59003193
61	33.46867699
62	33.23181432
63	33.00131175
64	32.82314101
65	32.62298951
66	32.40017873
67	32.20519598
68	32.01776328
69	31.93993416
70	31.708649
71	31.50083328
72	31.2984224
73	31.13113895
74	31.0583532
75	30.87825984
76	30.73932383
77	30.58520608
78	30.46403622
79	30.32640081
80	30.17857332
81	30.0990012
82	29.94913102
83	29.80988753
84	29.65522453
85	29.52046358
86	29.43362735
87	29.4058404
88	29.25730786
89	29.14757538
90	29.01446552
91	28.97380165
92	28.75906448
93	28.61067395
94	28.49535669
95	28.28811699
96	28.17767168
97	28.07465379
98	27.95357463
99	27.83360623
100	27.63541522
101	27.53000122
102	27.37235166
103	27.17953351
104	26.94676875
105	26.82215578
106	26.68889946
107	26.66279386
108	26.58812825
109	26.43465671
110	26.24564801
111	26.10345673
112	25.98415119
113	25.83630365
114	25.65847651
115	25.58227014
116	25.45046656
117	25.36880996
118	25.24406082
119	25.19276365
120	25.16852262
121	25.08611966
122	24.92918682
123	24.77622948
124	24.65957536
125	24.57023633
126	24.40658394
127	24.30129436
128	24.19239602
129	24.17713125
130	24.09600019
131	23.99695967
132	23.93879106
133	23.83133367
134	23.74687094
135	23.65003076
136	23.63378152
137	23.58754058
138	23.48415594
139	23.37003576
140	23.26439458
141	23.25767889
142	23.17218521
143	23.05475421
144	23.03679622
145	23.03165236
146	22.99591595
147	22.74527214
148	22.62046658
149	22.6174154
150	22.59779645
151	22.57319442
152	22.46157028
153	22.36333383
154	22.28044204
155	22.27457564
156	22.18730741
157	22.18431828
158	22.06506242
159	22.04555661
160	22.03221892
161	21.92269862
162	21.91876631
163	21.91291488
164	21.81146022
165	21.67039428
166	21.63537515
167	21.50651753
168	21.45977399
169	21.36310725
170	21.27527728
171	21.17874181
172	21.17337848
173	21.08300025
174	21.00524148
175	20.90397961
176	20.89415819
177	20.88487176
178	20.76903865
179	20.69805543
180	20.60216998
181	20.51593839
182	20.49091165
183	20.48224587
184	20.47331869
185	20.46420392
186	20.34688275
187	20.22417101
188	20.16099933
189	20.13103084
190	20.02230672
191	19.91997111
192	19.83865308
193	19.76086095
194	19.67286646
195	19.60555632
196	19.5019697
197	19.43504249
198	19.35546627
199	19.31234343
200	19.25173863
201	19.18259011
202	19.10064613
203	19.08394684
204	18.97895484
205	18.86363473
206	18.74351271
207	18.67291265
208	18.55813412
209	18.47811945
210	18.41364067
211	18.40811492
212	18.31914869
213	18.22255005
214	18.21467452
215	18.14231744
216	18.00642927
217	17.94054929
218	17.8839737
219	17.80502994
220	17.79701428
221	17.70808765
222	17.62298506
223	17.58006008
224	17.5504566
225	17.5036194
226	17.49506898
227	17.40116145
228	17.34380626
229	17.27633532
230	17.24934897
231	17.19024214
232	17.17987783
233	17.13628127
234	17.10313801
235	17.07110815
236	16.97879527
237	16.92804441
238	16.9185894
239	16.836409
240	16.74017553
241	16.73704237
242	16.67180445
243	16.58987187
244	16.50080856
245	16.40001866
246	16.29449527
247	16.17967193
248	16.07663087
249	16.01143483
250	15.95061285
251	15.90663689
252	15.83903444
253	15.79271431
254	15.68877686
255	15.61383157
256	15.54011808
257	15.47153731
258	15.3923849
259	15.31241745
260	15.22784935
261	15.15183375
262	15.14764486
263	15.09351284
264	15.05978987
265	14.99937509
266	14.96763553
267	14.85642678
