Model,RMSE,MAE
LSTM_i+1,44.18217116459596,34.439900921600625
LSTM_i+2,49.885797717506414,39.38179909221398
LSTM_i+3,55.22362064166973,43.082723869606255
LSTM_i+4,52.32914403311984,38.54794133673067
LSTM_i+5,48.6857392966133,36.375156799172444
