Fold,Model,RMSE,MAE
1,GRU_i+5,107.78190100247154,88.7720590658916
2,GRU_i+5,82.84738258038745,66.9759048944967
3,GRU_i+5,63.826029080053054,51.94344896710785
4,GRU_i+5,64.03214988397347,51.428304547926125
5,GRU_i+5,658.8902284818723,508.3135164569876
