ticker,cumulative_return,sharpe_ratio,trade_count,total_cost,pred_return_std
7203.T,0.0773380431472871,-3.290913386875978,561,0.07515309143066407,0.01089535
9984.T,0.1824264378235817,-0.8963280605838648,298,0.03806878280639649,0.0073247952
8306.T,0.3521936257109043,0.8134347927998938,93,0.029480697631835938,0.01425884
8035.T,3.656547730851394,4.240766064541896,132,0.02348729705810547,0.014404765
7974.T,4.083093242843981,6.916827727366882,2124,0.19534759521484377,0.00347284
9983.T,0.6793635369563266,0.08746226295392646,208,0.015964691162109374,0.008870557
6861.T,0.522895866114183,-0.19723575110274172,601,0.038267700195312504,0.006393036
6857.T,0.00113636940155547,-5.523518702245176,325,0.04795250701904297,0.0082959635
