Timestamp,Model,Position_Size,Predicted_Return,Future_Return,Strategy_Return,Transaction_Cost,Year
2021-01-25,LightGBM,0.30771976188349903,0.0015385988094174952,-0.0498893818596726,-0.015659668468256907,0.000307719761883499,2021
2021-01-26,LightGBM,0.41498825715014664,0.0020749412857507333,-0.006000008874522024,-0.002597201720989955,0.00010726849526664762,2021
2021-01-27,LightGBM,0.3498689116062761,0.0017493445580313803,0.03374087493595659,0.011739763844942741,6.511934554387056e-05,2021
2021-01-28,LightGBM,0.4149882571501579,0.0020749412857507896,0.048938960380537,0.020243974529515797,6.511934554388182e-05,2021
2021-01-29,LightGBM,0.4369699716789227,0.0021848498583946136,0.0852056749457238,0.03721033965338766,2.1981714528764795e-05,2021
2021-02-01,LightGBM,0.5064260175332237,0.0025321300876661183,0.10186473603619951,0.05151749655203128,6.945604585430098e-05,2021
2021-02-02,LightGBM,0.4264243826034637,0.0021321219130173187,0.07230042206618506,0.030750661206613048,8.000163492975998e-05,2021
2021-02-03,LightGBM,0.3341617855465775,0.0016708089277328874,0.044718552010237146,0.014850968589741451,9.226259705688622e-05,2021
2021-02-04,LightGBM,0.29307099687350896,0.0014653549843675448,0.08428905994424651,0.024661588034718213,4.109078867306854e-05,2021
2021-02-05,LightGBM,0.2930709968735071,0.0014653549843675355,0.06740713778544284,0.019755077067169575,1.8873791418627663e-18,2021
2021-02-08,LightGBM,0.2930709968734967,0.0014653549843674835,0.033096742352948585,0.00969969527464391,1.0380585280245214e-17,2021
2021-02-09,LightGBM,0.2930709968734857,0.0014653549843674286,0.03164866940532064,0.009275307092336697,1.099120794378905e-17,2021
2021-02-10,LightGBM,0.2887446016177191,0.0014437230080885954,-0.004551193852647679,-0.0013184590511235328,4.326395255766613e-06,2021
2021-02-12,LightGBM,0.30948384195633977,0.0015474192097816987,-0.04136437011942643,-0.012822343425002734,2.073924033862068e-05,2021
2021-02-15,LightGBM,0.3094838419563543,0.0015474192097817716,-0.04683072062607568,-0.0144933513409426,1.454392162258955e-17,2021
2021-02-16,LightGBM,0.309483841956358,0.0015474192097817898,-0.04962050155836727,-0.015356743462084954,3.663735981263017e-18,2021
2021-02-17,LightGBM,0.3094838419563442,0.001547419209781721,-0.02776752128474513,-0.0085935991688075,1.3766765505351941e-17,2021
2021-02-18,LightGBM,0.3699248388261721,0.0018496241941308605,-0.027183998747171412,-0.010116477352068078,6.04409968698279e-05,2021
2021-02-19,LightGBM,0.36992483882615035,0.0018496241941307519,-0.01735909596667172,-0.006421560777638734,2.176037128265307e-17,2021
2021-02-22,LightGBM,0.29307099687350574,0.0014653549843675288,-0.016997573114725273,-0.005058349539115481,7.685384195264461e-05,2021
2021-02-24,LightGBM,0.3561378229779515,0.0017806891148897574,0.010138088023339058,0.0035474897716863698,6.306682610444575e-05,2021
2021-02-25,LightGBM,0.25460603743509747,0.0012730301871754872,-0.011972991398241463,-0.00314992768169362,0.00010153178554285403,2021
2021-02-26,LightGBM,0.2792839810253225,0.0013964199051266124,0.01219367964681012,0.0033808214515183535,2.4677943590225016e-05,2021
2021-03-01,LightGBM,0.346643080935921,0.001733215404679605,0.004542680859719303,0.001507329789011139,6.735909991059852e-05,2021
2021-03-02,LightGBM,0.34664308093593466,0.0017332154046796732,0.033573223538228406,0.011637925644242321,1.3655743202889425e-17,2021
2021-03-03,LightGBM,0.3163952149957871,0.0015819760749789355,0.01969639957894451,0.006201598713482932,3.0247865940147557e-05,2021
2021-03-04,LightGBM,0.3275265770951886,0.001637632885475943,0.021332821758232094,0.006975934728156119,1.1131362099401521e-05,2021
2021-03-05,LightGBM,0.3485203304010421,0.0017426016520052103,0.022085468009310483,0.007676240854360681,2.0993753305853457e-05,2021
2021-03-08,LightGBM,0.3793713306505403,0.0018968566532527014,0.047607120462620896,0.018029925638095558,3.0851000249498217e-05,2021
2021-03-09,LightGBM,0.3373889683015902,0.0016869448415079511,0.009769245422796063,0.003254053271933246,4.1982362348950085e-05,2021
2021-03-10,LightGBM,0.3373889683016118,0.0016869448415080589,0.022145702034620223,0.007471715561775401,2.1593837828959295e-17,2021
2021-03-11,LightGBM,0.3373889683015887,0.0016869448415079435,0.06908918935987546,0.023309930318921458,2.3092638912203258e-17,2021
2021-03-12,LightGBM,0.3373889683015873,0.0016869448415079366,0.061264730114701606,0.02067004408667436,1.3877787807814458e-18,2021
2021-03-15,LightGBM,0.33738896830159076,0.001686944841507954,0.0026377823541087835,0.0008899586670569003,3.4416913763379853e-18,2021
2021-03-16,LightGBM,0.33738896830162346,0.0016869448415081172,0.00423262651491767,0.001428041493074136,3.269606807521086e-17,2021
2021-03-17,LightGBM,0.33738896830160675,0.0016869448415080337,-0.022628768624057907,-0.007634696900006683,1.6708856520608605e-17,2021
2021-03-18,LightGBM,0.3373889683015862,0.0016869448415079312,-0.056994196533950936,-0.01922921316776757,2.0539125955565396e-17,2021
2021-03-19,LightGBM,0.33738896830159787,0.0016869448415079893,-0.03297097287734714,-0.01112404252298813,1.1657341758564143e-17,2021
2021-03-22,LightGBM,0.3538018133844474,0.0017690090669222368,0.012317617426543427,0.004341582537004085,1.6412845082849515e-05,2021
2021-03-23,LightGBM,0.38439964042163105,0.0019219982021081554,0.023304354186040415,0.008927587542335084,3.059782703718367e-05,2021
2021-03-24,LightGBM,0.32952183590038897,0.0016476091795019447,0.07828006622420428,0.02574011333208258,5.487780452124208e-05,2021
2021-03-25,LightGBM,0.32952183590037415,0.0016476091795018708,0.04934494372166619,0.01626023644756407,1.482147737874584e-17,2021
