Date,Close,High,Low,Open,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Close_lag_1,Close_lag_5,Close_lag_20,Close_pct_change_1d,sentiment,day_of_week
2020-01-06,1308.287109375,1318.8363749752436,1302.2342278379049,1314.1670936611577,33361500,-9035344.385387417,33361500,,,,,,,,1000.0,,,,,,0.0,0.0,,1326.3880512000549,1293.1837569253773,,0.454861420173019,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1310.5353014065743,,0.0,0.0,0.0,,2030.4920528775979,1995.322965145111,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.6617101634479701,0
2020-01-07,1334.22802734375,1335.438624759309,1317.6258802425527,1323.6787617664713,24803500,12396743.312755033,58165000,,,1148.8282012249076,,491807.61182097887,,,1019.8281537614038,,,,,,0.0,0.0,,1336.649153249341,1302.2342615952457,,0.9296488877569112,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1318.836426298607,,0.0,0.0,0.0,,2030.4920528775979,1995.322965145111,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,1.9828153761403788,1.9634136397878699,1.9828153761403788,1308.287109375,,,0.01982815376140379,-0.8146452467338368,1
2020-01-08,1317.2799072265625,1321.603393789894,1304.1364447417127,1308.287034064059,28061000,26566209.52296856,30104000,,,-850.4304140880469,,135360.89592098986,,,1019.8281537614038,,,,,,0.0,0.0,,1335.0350569331954,1300.4471631316778,,0.4866657736223917,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1318.836426298607,,0.0,0.0,0.0,,2030.4920528775979,1995.322965145111,,,,,1318.8363749752436,0.0,1.0,,,,,,,,,,,,,,,,,,,-1.270256640533085,-1.2783933786050028,0.687371891622357,1334.22802734375,,,-0.01270256640533085,0.20023903918203412,2
2020-01-09,1326.4456787109375,1329.904467964421,1320.9115947945895,1326.7915787470602,21265000,31473555.614967417,51369000,,,530.2311405015222,,283324.99189327366,,,1026.9242248085889,,,,,,0.0,0.0,,1334.9629894481834,1304.5256325121295,,0.7201691738497532,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1318.836426298607,,0.0,0.0,0.0,,2030.4920528775979,1995.322965145111,,,,1304.1364447417127,,1.0,0.0,,,,,,,,,,,,,,,,,,,0.6958104677746713,0.6934008777353284,1.387965164971483,1317.2799072265625,,,0.006958104677746713,0.8387866415093319,3
2020-01-10,1324.8890380859375,1331.287818623857,1323.159643646168,1330.7690214026982,17417000,21468025.727297515,33952000,,,84.73517436820349,,262885.3989263213,,,1025.7190853952002,,,,,,0.0,0.0,,1334.8851265778153,1307.2839710378967,,0.6378380435043458,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1318.836426298607,,0.0,0.0,0.0,,2030.4920528775979,1995.322965145111,,,,1304.1364447417127,,0.0,0.0,,,,,,,,,,,,,,,,,,,-0.11735426862807818,-0.1174231826708727,1.2689820599752544,1326.4456787109375,,,-0.0011735426862807818,0.13146153863426524,4
2020-01-14,1338.3785400390625,1340.626731936639,1331.6338587924613,1335.7844481063498,24309500,33622918.3937066,58261500,,,329.48272184415237,,510395.2192228501,,,1025.7190853952002,,,,,,0.0,0.0,,1336.7163693815514,1310.7177820502266,,1.063933114377656,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1321.430479887272,,0.0,0.0,0.0,,2030.4920528775979,1995.322965145111,,,,1305.2224996969985,,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0181608848249812,1.0130125429995473,2.3000632237703433,1324.8890380859375,1308.287109375,,0.010181608848249812,-0.7880335357391097,1
2020-01-15,1326.7916259765625,1336.303296762227,1324.7163312398243,1328.3480178637099,21778000,19646058.163959842,36483500,,,-299.0372108479473,,321853.7812782768,,,1016.8389976328895,,,,,,0.0,0.0,,1337.307942829226,1311.7128778245467,,0.5891271676496656,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1321.430479887272,,0.0,0.0,0.0,,2030.4920528775979,1995.322965145111,,,,1307.346753631377,,0.0,0.0,,,,,,,,,,,,,,,,,,,-0.8657426666570545,-0.8695119893393333,1.414407928425021,1338.3785400390625,1334.22802734375,,-0.008657426666570545,0.08301507248935258,2
2020-01-16,1329.3857421875,1330.0774367430763,1324.8892525838073,1326.7916501078655,16113000,31462651.5477493,52596500,,,-97.44852154015989,,353357.59369951714,,,1018.8271007200879,,,,,,0.0,0.0,,1336.8076576419141,1313.1149297230024,,0.6867428909066263,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1321.430479887272,,0.0,0.0,0.0,,2030.4920528775979,1995.322965145111,,,,1309.3435523296926,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.19551798188568448,0.1953270942520291,1.6126913321479863,1326.7916259765625,1317.2799072265625,,0.0019551798188568448,-0.3373522609562212,3
2020-01-17,1330.7691650390625,1333.7091570147704,1326.7915785090443,1333.7091570147704,21640000,34708519.46767083,74236500,,,88.45240069682518,,375877.22028927546,,,1018.8271007200879,,,,,,0.0,0.0,,1336.8669044254073,1314.26946216288,,0.7301579835671721,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,1321.430479887272,,,1321.430479887272,,0.0,0.0,0.0,,2030.4920528775979,1995.322965145111,,,,1311.2205431061093,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.10406481788243216,0.10401070798717882,1.7184343943282165,1329.3857421875,1326.4456787109375,,0.0010406481788243216,0.41853740876742807,4
2020-01-20,1345.468994140625,1346.506588675484,1332.6714319233954,1334.0550320416996,15775000,48117365.75062977,90011500,,,819.0274697843543,,550129.6828268638,,,1030.0811819372357,,,,,,0.0,0.0,1327.166265456046,1338.718630149392,1315.6139007627,1.7409069223706275,1.292163733158503,1.0,0.0,,,,,,15.184106979058901,,,,,,,,,,,,,,,,,,1325.3215167085982,,,1324.3704082566944,,0.0,0.0,0.0,,2030.4920528775979,1995.322965145111,,,,1312.9849144359412,,0.0,0.0,,,,,,,,,,,,,,,,,,1345.468994140625,1.1046114899371684,1.0985552152756206,2.8420279080321853,1330.7691650390625,1324.8890380859375,,0.011046114899371684,-0.9460967669139435,0
2020-01-21,1358.2667236328125,1365.184302860779,1348.4091521221835,1349.2738495256792,25988000,52671990.66175153,115999500,,,1110.7513073865669,,797320.3616840877,,,1030.0811819372357,,,,,,0.0,0.0,1331.9163476703002,1343.486012723772,1320.3466826168285,1.7372960507180026,1.6387700439350685,1.0,0.0,,,,,,15.637227153168421,,,,,,,,,,,,,,,,,,1334.660373801246,,,1333.7092653493419,,0.0,0.0,0.0,,2030.4920528775979,1995.322965145111,,,,1315.6666483751046,,0.0,0.0,,,,,,,,,,,,,,,,,,1346.928503477042,0.951172382858334,0.9466772203649221,3.8202328754648462,1345.468994140625,1338.3785400390625,,0.00951172382858334,0.13284229669515568,1
2020-01-22,1352.905517578125,1357.5749046028216,1346.6797385811167,1357.5749046028216,22193000,55842296.37097191,93806500,,,-229.23422925207709,,709722.5107601879,,,1026.0153549731094,,,,,,0.0,0.0,1334.2452686175152,1345.123175821482,1323.3673614135487,1.6305708492768838,1.3577131892523056,1.0,0.0,,,,,,15.23220294302116,,,,,1332.7580057779949,,1335.0324470182966,,,,,,,,,,,1343.0479488276842,,,1333.7092653493419,,0.0,0.0,0.0,,2030.4920528775979,1995.322965145111,,,,1320.618413823672,,0.0,0.0,,,,,,,,,,,,,,,,,,1347.1444108093635,-0.3947093719817052,-0.39549040530859614,3.410444686292169,1358.2667236328125,1326.7916259765625,,-0.003947093719817052,-0.3902233637589143,2
